Fold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Brier
1,0.8431818181818181,0.5822784810126582,0.5609756097560976,0.5714285714285714,0.8863775718762773,0.6624171840651397,0.1020497691645057
2,0.8545454545454545,0.6323529411764706,0.524390243902439,0.5733333333333334,0.881864014170868,0.654066301257774,0.10299013950160214
3,0.8363636363636363,0.5662650602409639,0.5662650602409639,0.5662650602409639,0.8435084877324424,0.5859547803571601,0.12073378079507494
4,0.8431818181818181,0.5853658536585366,0.5783132530120482,0.5818181818181818,0.8265330228476933,0.6110853733644808,0.11792059177699354
5,0.8272727272727273,0.5368421052631579,0.6144578313253012,0.5730337078651685,0.8606189463737302,0.6622906075587546,0.11611095806673624
6,0.8318181818181818,0.5540540540540541,0.5,0.5256410256410257,0.8277013217059545,0.5552655611535209,0.12627288622693808
7,0.8363636363636363,0.5625,0.5487804878048781,0.5555555555555556,0.8649679792887315,0.624743311055352,0.11177040746957788
8,0.8295454545454546,0.5571428571428572,0.46987951807228917,0.5098039215686274,0.8490094833113968,0.5917312182854815,0.12276145810270139
9,0.8363636363636363,0.5604395604395604,0.6144578313253012,0.5862068965517241,0.8497856974114947,0.6261531345287799,0.12102703253535338
10,0.8363636363636363,0.5604395604395604,0.6144578313253012,0.5862068965517241,0.8462083628632175,0.6316764092658306,0.11932401232627075
11,0.8363636363636363,0.5531914893617021,0.6341463414634146,0.5909090909090909,0.8681359858291321,0.6106881650652559,0.11417591330472808
12,0.8386363636363636,0.5662650602409639,0.573170731707317,0.5696969696969697,0.87324567379752,0.5912905238658506,0.11683643168380707
13,0.865909090909091,0.6428571428571429,0.6506024096385542,0.6467065868263473,0.8728865039991899,0.6851256297241879,0.10201209448872761
14,0.8590909090909091,0.6438356164383562,0.5662650602409639,0.6025641025641025,0.8440484627585975,0.6530178864335991,0.10841471194962646
15,0.8136363636363636,0.5054945054945055,0.5542168674698795,0.5287356321839081,0.8067901859538996,0.5131485071771842,0.13552341995544276
16,0.8727272727272727,0.6710526315789473,0.6219512195121951,0.6455696202531646,0.8804333015397193,0.6863375161659628,0.10101302508362651
17,0.8113636363636364,0.494949494949495,0.5975609756097561,0.5414364640883977,0.8341906254258074,0.5528638297470074,0.13071370583835137
18,0.8204545454545454,0.525,0.5060240963855421,0.5153374233128835,0.8343626607269414,0.562888440884142,0.12486637096890657
19,0.8477272727272728,0.6052631578947368,0.5542168674698795,0.5786163522012578,0.8585096689278121,0.6385905520562967,0.11408841296268936
20,0.8363636363636363,0.5647058823529412,0.5783132530120482,0.5714285714285714,0.8524518241031354,0.6624557303081677,0.11190971941950147
21,0.8454545454545455,0.5875,0.573170731707317,0.5802469135802469,0.833560430576373,0.5933934815794875,0.1215604458200397
22,0.8454545454545455,0.5875,0.573170731707317,0.5802469135802469,0.879700912930917,0.6721126913647387,0.10652695852196058
23,0.865909090909091,0.6304347826086957,0.6987951807228916,0.6628571428571428,0.8848503256724377,0.6967878642942329,0.09959157501386652
24,0.8340909090909091,0.5543478260869565,0.6144578313253012,0.5828571428571429,0.8459046269110053,0.5989714190310573,0.1218672897574065
25,0.8272727272727273,0.5454545454545454,0.5060240963855421,0.525,0.8126624143633357,0.5658287975496292,0.13339722624104533
